myX, myY
1988, 554828660436
1989, 506631299735
1990, 517014446228
1991, 517962962963
1992, 460290556901
1993, 435083713851
1994, 395077301248
1995, 395537185735
1996, 391724890744
1997, 404928954192
1998, 270955486862
1999, 195907128351
2000, 259710142197
2001, 306602070621
2002, 345470494418
2003, 430347420185
2004, 591016690732
2005, 764015973481
2006, 989932071353
2007, 1299703478482
2008, 1660848058303
2009, 1222645900056
2010, 1524916715224
2011, 2045922753398
2012, 2208293553878
2013, 2292470078346
2014, 2059241589895
2015, 1363482182198
2016, 1276786350881
2017, 1574199360089
2018, 1657328773461
2019, 1693115002708
2020, 1493075894362
2021, 1836892075548
2022, 2240422427459